period,gini,wolfson,atkinson_e1,ede_e1,middle_share,bottom20_income,top20_income,employment,vulnerable_employment,skill_gap,capital_top10,output,growth_q1,growth_q2,growth_q3,growth_q4,growth_q5,seed,policy
8,0.3239392664321413,0.29198176577262047,0.15868018338071055,1.0022284732569005,0.3242857142857143,0.21392651386180211,3.4798487932362407,0.9773469951332358,0.8980111498912746,0.37531232636450274,0.3723238439171892,1.1912574189494276,-0.06784670830863578,-0.032211453938046614,0.01179273693097791,0.04533310186616479,0.10773593114609901,0,공공AI+공교육
9,0.3291898892388654,0.29813468260559095,0.16353044421790408,1.0070413084536116,0.32142857142857145,0.2108742298225125,3.560367940897848,0.9776730193053442,0.8994723161592235,0.34577270788485226,0.37323917180644034,1.2039186620629985,-0.07248673878068032,-0.032691206405658535,0.016385563295233302,0.05355988238433808,0.12398930873533737,0,공공AI+공교육
10,0.3345471963261024,0.30397091792029146,0.16853915287025,1.0128518817172174,0.32,0.20826632036241338,3.6498061814719733,0.9780110160425834,0.9009803659703167,0.3181612575882351,0.37440429899249583,1.2181594421597115,-0.07647873934853645,-0.03191247442137686,0.021619552964834213,0.06326551487558259,0.14102976975967085,0,공공AI+공교육
11,0.3397890496120263,0.3106760021960665,0.17349835192647545,1.0192860625700864,0.315,0.20647740229155076,3.7354437998786216,0.9783677281273273,0.9025668896112011,0.29166705747460275,0.37564775014427604,1.23325351491545,-0.07942374614646229,-0.03034486637081759,0.02787357299258183,0.07329965566599576,0.15778123992938148,0,공공AI+공교육
12,0.34529566524652167,0.3155160558509532,0.17880494108942746,1.0258324598202981,0.31,0.20457329313996217,3.827840259080329,0.9787222062054004,0.9041395925385599,0.2675514033546781,0.3772372590794327,1.2491946324923155,-0.08268859393785409,-0.02910118388006004,0.03447378967016984,0.08367533877771573,0.17483648206307018,0,공공AI+공교육
13,0.35083358201431414,0.3230486446788557,0.18418191674568385,1.0329989006859985,0.305,0.20247279267253862,3.9231420489706363,0.9790915440916634,0.905779237631384,0.24548995137395946,0.37908897697687904,1.2662123111629782,-0.0852227780819943,-0.02671603923351946,0.04171492423218843,0.09419544998144039,0.19203271103961508,0,공공AI+공교육
14,0.3565792848785032,0.3313064265734956,0.1897905731994406,1.0407077716341693,0.30142857142857143,0.20103021696195547,4.023786680257732,0.9794610509184872,0.9074236207367815,0.2245648238733935,0.3812104422401321,1.2844923018778318,-0.08667843741484672,-0.023803869608093033,0.04837469729372553,0.1053677997457721,0.2099186048773409,0,공공AI+공교육
15,0.3623731341773446,0.3379226179297916,0.1954914943290369,1.0488695744676368,0.29928571428571427,0.20028829217717384,4.126827496553472,0.9798324046683693,0.9090771067315772,0.204892423110544,0.38377988908262706,1.303739571519975,-0.08740324005258168,-0.020824920388345228,0.055938225243333986,0.11651002418902398,0.22801849163358107,0,공공AI+공교육
0,0.28674570602246163,0.25868531044937426,0.12584051831648935,0.9893226839264871,0.35642857142857143,0.24527790378099995,2.969644215655765,0.9751420349263461,0.8877382222480147,0.7165055426075388,0.3669487155396296,1.131741638289146,0.0,0.0,0.0,0.0,0.0,0,공공AI+돌봄
1,0.2906991592849757,0.2634782774272571,0.12917409772914978,0.9824425557209285,0.35,0.2395658484133723,2.996595116565064,0.9750514697532127,0.889371812761621,0.717429780710727,0.3677444508994798,1.1281733273654537,-0.016235123358506524,-0.012233724210504527,-0.00763378841511842,-0.0029288135747333652,0.004138065751538683,0,공공AI+돌봄
2,0.2954096352990503,0.26727374733206505,0.13324876371546968,0.9816500874243752,0.34785714285714286,0.23434424103261114,3.0542510295372165,0.9749604293102035,0.8910069930888191,0.7182190766569673,0.36848440676437416,1.1325626619609768,-0.029002478013098916,-0.01912437830809168,-0.008165884558950478,0.0005554818187027278,0.01680909439832197,0,공공AI+돌봄
3,0.30045070492633963,0.27023909188545925,0.1376334934100787,0.9809144707353156,0.3392857142857143,0.22967204257575446,3.1153392858718325,0.9748709900098018,0.892652854118194,0.7175515028422849,0.36921398992869575,1.137468191586164,-0.04188467062230814,-0.02629471386059654,-0.009020144654139247,0.00451746722035568,0.03000565508517601,0,공공AI+돌봄
4,0.30562659979720375,0.27553784044561674,0.14220041327703026,0.9803796993775725,0.34,0.22484773515224035,3.179339517459789,0.9747845405213681,0.8942978316746673,0.7172890400514247,0.36989728402304145,1.1429006431710844,-0.05454149482027511,-0.0331945645679454,-0.009598861059765738,0.00890463914969101,0.04302724947016288,0,공공AI+돌봄
5,0.31096289339420446,0.2790952061238796,0.14698365019194848,0.9802549349854288,0.3335714285714286,0.21970046319519948,3.247636390486009,0.9747045685077727,0.8959459138346292,0.7180654237824277,0.3706753840658983,1.1491631258955457,-0.06653310751904339,-0.04011470533442155,-0.009508753543934852,0.01351283301505019,0.05660435457694044,0,공공AI+돌봄
6,0.3164434141496002,0.2851605844953557,0.15194625706196996,0.9803232219834533,0.3264285714285714,0.2149211847146178,3.3165828507127606,0.9746274493042005,0.8975974071961634,0.7183063329448999,0.3714127005878644,1.1559682745897493,-0.0783673649713574,-0.046186607135346086,-0.009720485049470498,0.018296997123864532,0.07028638153724195,0,공공AI+돌봄
7,0.3222060941856124,0.29071844695707383,0.15724045917909013,0.9804431566421022,0.3221428571428571,0.21017236320187244,3.3904827758975675,0.9745519416252283,0.8992486590268826,0.7187443866869404,0.3722715103115895,1.163372360859989,-0.09048699883580062,-0.052701308519173096,-0.00960499477076526,0.02341892524486174,0.0842949707405884,0,공공AI+돌봄
8,0.32819192746574777,0.2971696113959987,0.1628005700523084,0.9807584219610649,0.31857142857142856,0.20588442421483438,3.4704834453712317,0.9744782811292684,0.9009041738640976,0.718390063727231,0.37348738045526125,1.1714752624979008,-0.10236644799828586,-0.059352052608657196,-0.009546514847915487,0.02883096756605093,0.09896215280254676,0,공공AI+돌봄
9,0.334252568039346,0.30377329405412484,0.16851790852920168,0.9809597916377195,0.315,0.20148226937497118,3.5483521116037298,0.974404455815682,0.9025555000939023,0.718713717555912,0.37476932027687293,1.1797726032830267,-0.1143186562075003,-0.06555680452770161,-0.009414540006376454,0.033549325800514396,0.11329527630045,0,공공AI+돌봄
10,0.3404380537719691,0.3099983204959288,0.17444245335156872,0.9817582295481778,0.3107142857142857,0.19728640870244268,3.634412379121877,0.9743377718515794,0.9042121166284592,0.718984927147404,0.37638834256956033,1.1892062928064608,-0.12599844575308447,-0.071024349533712,-0.008859960938408625,0.03935164494866563,0.12815373435827077,0,공공AI+돌봄
11,0.3466158812986936,0.31571581899270895,0.18045768989490896,0.982641983374737,0.3057142857142857,0.19348934997217831,3.716811934572459,0.9742744207540392,0.905882724515076,0.7181254743046869,0.37816089635603667,1.1990131214198465,-0.13746369701748917,-0.0763699455053594,-0.007894509869442096,0.04517925218897123,0.1426703717394958,0,공공AI+돌봄
12,0.3530244620591976,0.3219516216921786,0.18680943949542816,0.9834818947302798,0.30642857142857144,0.189658005563282,3.806009272262303,0.9742100142725412,0.9075442962737099,0.7177373188133014,0.3802829418211966,1.209411351405807,-0.1492986254297791,-0.0821661100856667,-0.006650879434693308,0.05112723699351455,0.15738176448243454,0,공공AI+돌봄
13,0.3594928760417202,0.33067016193326043,0.19329766664434156,0.9846269374509048,0.30142857142857143,0.1858279316249772,3.897746610947362,0.974149813582584,0.9092176433902853,0.7175165429575081,0.3827086841885116,1.2205579390791264,-0.16087213477330117,-0.08713493080120514,-0.00517140415547996,0.05724561134815127,0.17214423033150505,0,공공AI+돌봄
14,0.36617012425839746,0.3381567075758757,0.20006361629977287,0.9859280485629106,0.29714285714285715,0.1823218511688413,3.9937445512039678,0.9740924409949996,0.9108897380714879,0.7164771538106484,0.3854407696268674,1.2325080702072218,-0.17196558639405946,-0.09199296999053434,-0.004359981701337155,0.0636737736870192,0.18745890211924152,0,공공AI+돌봄
15,0.37290327499417797,0.34749191978631466,0.20697129494058963,0.9873992358628871,0.2907142857142857,0.17913726252926218,4.091795487039938,0.9740370962185043,0.9125587804973215,0.7148261706491774,0.3887377903734893,1.2450989851482304,-0.1827772013306027,-0.09688987553362129,-0.0029076413899227186,0.06991900169209855,0.20292521956395965,0,공공AI+돌봄
0,0.28674570602246163,0.25868531044937426,0.12584051831648935,0.9893226839264871,0.35642857142857143,0.24527790378099995,2.969644215655765,0.9751420349263461,0.8877382222480147,0.7165055426075388,0.3669487155396296,1.131741638289146,0.0,0.0,0.0,0.0,0.0,0,공공AI 종합안
1,0.289735015653401,0.2627833650747276,0.1282875204668975,0.9853749431575186,0.3514285714285714,0.24219193988273377,2.993488670414769,0.9758678136377577,0.8911304100729168,0.662628477159865,0.3668548613341058,1.1303898547893851,-0.010045467689394785,-0.008117097952906443,-0.004959207376836882,-0.0012945647099469409,0.004424689518842889,0,공공AI 종합안
2,0.29394158543743387,0.2655683456229589,0.13192233141148302,0.9872052062458475,0.3457142857142857,0.23786648341483604,3.0527760478504797,0.9766065547705051,0.8945505473153079,0.6123714394096887,0.36667324020141906,1.1372314275184965,-0.018968831229703983,-0.01177611266557175,-0.0025694495317394846,0.00427440203413623,0.018326869148303337,0,공공AI 종합안
3,0.29835793991628956,0.26897829221288444,0.13572524620567838,0.9897512711660913,0.345,0.23515737725781483,3.115318691647517,0.9773727125498388,0.8980592722632683,0.5635758361668467,0.3664163379837912,1.145181282712361,-0.026966634863075926,-0.014909362909505593,6.57659086951433e-05,0.010850776917524771,0.03312504984594219,0,공공AI 종합안
4,0.30276626931049055,0.2724520204392221,0.13957683780439933,0.9930029598786887,0.34,0.23217678891146515,3.1810994806554684,0.9781530121538133,0.9016193205032915,0.5188415183162198,0.366086570861664,1.1540867372105315,-0.033950393043889235,-0.017183334019717087,0.0037257290439745724,0.0182299434661297,0.04774352179674347,0,공공AI 종합안
5,0.3072130455151556,0.2743364296896877,0.1435244733347547,0.9973446102111755,0.33785714285714286,0.22824815660422415,3.251827123907918,0.9789473619361485,0.9052250360532591,0.47887252896764926,0.365724244787691,1.164475316760556,-0.03906935044125421,-0.01867419907711958,0.00840476815385495,0.026414880029876762,0.06330293161603379,0,공공AI 종합안
6,0.31170060593968907,0.27827910837341785,0.14751915256730086,1.0024427928679798,0.3335714285714286,0.22531394703428984,3.323560265655636,0.9797620795763826,0.9088856445372628,0.4408474893132326,0.3652826648984032,1.1759123925034805,-0.043119676218844126,-0.018545587107609878,0.013277890309398202,0.035091436978205395,0.07916864476717216,0,공공AI 종합안
7,0.3163981158924555,0.28339055410778197,0.1517602578152728,1.00806813827967,0.33214285714285713,0.2221282933933427,3.400776530062952,0.9805814464709075,0.9125753689186353,0.40611859785803706,0.36481209814552845,1.188423612036013,-0.047075879077465375,-0.01812638294387955,0.018924227779435435,0.04462366896561019,0.09550682782830279,0,공공AI 종합안
8,0.32128463466098645,0.2879382332071178,0.156182713154013,1.0143441013218861,0.32571428571428573,0.22027040140205445,3.4856815752415,0.981414158113832,0.9163147633842124,0.3728719962783994,0.3645769368923611,1.2020897380679327,-0.05003374087821382,-0.01766375992262476,0.024989425309859044,0.05482748969415062,0.11276521412124157,0,공공AI 종합안
9,0.3262772759367365,0.29410121610032874,0.16075866790582705,1.0206723313022812,0.32285714285714284,0.21765110244800284,3.5694600695093985,0.9822476501309464,0.9200677339858111,0.343175056971036,0.3644510169125745,1.2161845374743168,-0.05293636767032558,-0.016489781258046867,0.031173611377424856,0.06422892324656544,0.13000504497967685,0,공공AI 종합안
10,0.33128780056832874,0.29955628066805146,0.1654121719628192,1.0282943593398908,0.32142857142857145,0.21547250814117497,3.660260397002684,0.9830940138273628,0.923872649557698,0.31564605209651897,0.3644729462131674,1.2320984380496864,-0.05467933838225842,-0.013857047432880902,0.0383939759813701,0.07530683539318642,0.14801655174795186,0,공공AI 종합안
11,0.33622671432883966,0.30507339260325006,0.17004160340985686,1.0364201622321152,0.31642857142857145,0.21415140312244382,3.74792711305482,0.9839584638124338,0.9277533167269899,0.2891201478837566,0.3646368038419386,1.2487615843037596,-0.055645593969724946,-0.010610713067011614,0.046262037434335365,0.08678626362408122,0.165744762305933,0,공공AI 종합안
