C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,171.3015127,T001,지역별 노동생산성,2026-07-30,344,2023,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C14,의복 의복액세서리 및 모피제품 제조업,Manufacture of wearing apparel clothing accessories and fur articles,산업별,By industry,171.9269305,T001,지역별 노동생산성,2026-07-30,344,2024,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,117.8329,T001,지역별 노동생산성,2025-09-02,344,2011,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,114.7793,T001,지역별 노동생산성,2025-09-02,344,2012,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,110.8226,T001,지역별 노동생산성,2025-09-02,344,2013,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,115.42712,T001,지역별 노동생산성,2025-09-02,344,2014,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,120.81909,T001,지역별 노동생산성,2025-09-02,344,2015,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,98.2993,T001,지역별 노동생산성,2025-09-02,344,2016,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,97.65956,T001,지역별 노동생산성,2025-09-02,344,2017,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,112.62733,T001,지역별 노동생산성,2025-09-02,344,2018,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,121.73835,T001,지역별 노동생산성,2025-09-02,344,2019,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,102.92743,T001,지역별 노동생산성,2025-09-02,344,2020,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,110.0289345,T001,지역별 노동생산성,2025-09-02,344,2021,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C15,가죽 가방 및 신발 제조업,Manufacture of leather luggage and footwear,산업별,By industry,122.1843841,T001,지역별 노동생산성,2025-09-02,344,2022,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
