spec_id,policy,wolfson_vs_market,output_vs_market,ede_vs_market,vulnerable_vs_market
34,공공AI 실패,-0.0006339267907822799,-0.024500760184983983,-0.024451989985600147,0.014362267898664498
34,공공AI 종합안,-0.01747149054671846,-0.08248927514294561,-0.07855759774416957,0.05013535988971525
34,공공AI+공교육,-0.012706860843706105,-0.048678343508297715,-0.04651793565471076,0.022683397243672153
34,공공AI+돌봄,-0.007676661503628092,-0.0683365087525755,-0.06722173084233489,0.027315205316187734
34,전국민 공공AI,-0.006109485278440609,-0.03885886756922602,-0.03771267268709394,0.00025906590883132807
35,공공AI 실패,-0.0014569901599218726,-0.026377338036772113,-0.02633177773182681,0.014411392894652134
35,공공AI 종합안,-0.02100951758598789,-0.08798414879054954,-0.08254832344298449,0.050320989677904215
35,공공AI+공교육,-0.014379665236053073,-0.05080307098666367,-0.04804785883568595,0.02285791369078564
35,공공AI+돌봄,-0.009369755722172753,-0.07475637000390474,-0.07302519004124752,0.027361667204233647
35,전국민 공공AI,-0.007251545278958424,-0.04233735892605302,-0.040629769255214554,0.0002972527370176019
36,공공AI 실패,-0.0040745875839324625,-0.0065597676867956214,-0.005808899679854318,0.01462333659435433
36,공공AI 종합안,-0.025947313564453095,-0.0024082260438664446,0.005387066615122449,0.05132218109192195
36,공공AI+공교육,-0.02156403812706205,0.010820567487679768,0.016739611815175498,0.023775009950432614
36,공공AI+돌봄,-0.013622053869006376,-0.02313442951872403,-0.020358643393296308,0.027713246411696736
36,전국민 공공AI,-0.009618201169141818,-0.009537600613429377,-0.006923060104338102,0.0005862141923925375
37,공공AI 실패,-0.0035056553307557525,-0.010493274289300759,-0.009816012827473866,0.014489141864445276
37,공공AI 종합안,-0.029175406117768546,-0.011609792925298467,-0.0035251644298753826,0.0507795245370692
37,공공AI+공교육,-0.024387907013518506,0.005557114688639471,0.011780513351668492,0.023266748096419265
37,공공AI+돌봄,-0.015216752117806764,-0.03199301483673416,-0.02893721777529297,0.027569451424309888
37,전국민 공공AI,-0.011777369038189128,-0.014211009834146603,-0.011258458779356939,0.00046802970380810296
38,공공AI 실패,-0.005963689398519947,-0.02099158978020116,-0.01943671191631738,0.014892210613359842
38,공공AI 종합안,-0.03884686323496628,-0.06612590596638324,-0.054542778830599714,0.05261990635982465
38,공공AI+공교육,-0.03251896574005737,-0.03188745890078257,-0.022702340139722804,0.02496075120994397
38,공공AI+돌봄,-0.019465473644213527,-0.06588678605433004,-0.062245382432749186,0.028181421411948793
38,전국민 공공AI,-0.015617134171752547,-0.0360325671121387,-0.03268021447455008,0.0009710052339880742
39,공공AI 실패,-0.005834826707983007,-0.0015292041805014672,-0.0001484342100235292,0.014799347052842433
39,공공AI 종합안,-0.04017361472500387,0.02222331429759479,0.03390159198336662,0.052134458960723176
39,공공AI+공교육,-0.03298653696734695,0.03065181988782418,0.040136991674896094,0.02452073470482722
39,공공AI+돌봄,-0.020091699559597956,-0.01213435315748139,-0.007699273008445667,0.027991487071249432
39,전국민 공공AI,-0.015674737400889538,-0.0019330701154231383,0.002157425544415781,0.0008148990071430804
